Decisao 1
Filial 1
Probabilidades
4,7837;9,7740;16,2479;20,1887;21,0190;15,3948;14,9829;13,0959;10,9307;-1,5469;-4,3153;-6,5047;-8,6587;
4,3528;9,0870;15,3635;19,4630;20,6834;15,8253;15,2959;13,3506;11,2163;-1,1963;-3,9212;-6,1455;-7,9829;
3,8105;8,1200;13,9800;18,1780;19,8960;16,1368;15,7387;13,8670;11,7052;-0,6456;-3,2747;-5,5233;-6,5965;
3,2170;6,9909;12,2509;16,3562;18,5436;16,0576;16,0637;14,5323;12,4778;0,1332;-2,4004;-4,6273;-4,2035;
2,5150;5,7034;10,2204;14,1086;16,6420;15,5428;16,0004;15,1206;13,4463;1,2489;-1,2386;-3,4578;-0,4599;
1,8497;4,3436;8,0786;11,5866;14,3188;14,4350;15,5007;15,3068;14,3218;2,5424;0,2400;-2,0163;4,8842;
1,3090;3,1438;6,0245;9,0454;11,7354;12,7569;14,4053;15,0099;14,7415;3,6822;1,8284;-0,3104;12,0201;
0,7578;2,0582;4,1169;6,5843;9,1316;10,8312;12,7396;14,1211;14,6826;4,3712;3,2689;1,5098;21,2188;
0,3185;1,0727;2,4672;4,3521;6,6205;8,7515;10,8239;12,6202;13,9836;4,5270;4,1975;3,1349;32,5224;

Filial 2
Probabilidades
0,0492;0,1501;0,2105;0,2136;0,1712;0,1120;0,0581;0,0239;0,0079;0,0026;0,0009;0,0000;0,0000;
0,0450;0,1393;0,2010;0,2109;0,1748;0,1189;0,0652;0,0291;0,0107;0,0037;0,0012;0,0002;0,0000;
0,0386;0,1222;0,1829;0,2013;0,1777;0,1300;0,0788;0,0404;0,0177;0,0071;0,0025;0,0006;0,0002;
0,0309;0,1004;0,1572;0,1832;0,1747;0,1417;0,0979;0,0589;0,0313;0,0149;0,0061;0,0020;0,0008;
0,0250;0,0810;0,1287;0,1574;0,1616;0,1456;0,1157;0,0818;0,0516;0,0289;0,0141;0,0057;0,0029;
0,0193;0,0637;0,1028;0,1289;0,1408;0,1392;0,1255;0,1033;0,0761;0,0498;0,0283;0,0138;0,0086;
0,0141;0,0474;0,0796;0,1029;0,1168;0,1244;0,1246;0,1165;0,0991;0,0748;0,0493;0,0281;0,0224;
0,0095;0,0331;0,0582;0,0797;0,0947;0,1057;0,1145;0,1184;0,1137;0,0983;0,0745;0,0492;0,0505;
0,0061;0,0218;0,0400;0,0583;0,0744;0,0876;0,0993;0,1106;0,1166;0,1131;0,0981;0,0744;0,0997;
0,0035;0,0131;0,0257;0,0401;0,0553;0,0703;0,0840;0,0971;0,1095;0,1163;0,1130;0,0980;0,1740;
0,0015;0,0065;0,0148;0,0257;0,0388;0,0535;0,0688;0,0830;0,0967;0,1094;0,1163;0,1130;0,2721;
0,0004;0,0023;0,0070;0,0148;0,0254;0,0383;0,0531;0,0685;0,0829;0,0966;0,1094;0,1163;0,3850;
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
Contribuicoes
0,2960;14,8881;23,1456;23,2022;16,9242;8,4404;0,8616;-3,8327;-5,9819;-16,6606;-16,8869;-17,0000;-17,0000;
0,1697;14,6355;23,0027;23,2012;17,0329;8,5873;0,9928;-3,7515;-5,9447;-16,6489;-16,8830;-16,9980;-17,0000;
-0,2154;13,7389;22,3141;23,0553;17,3633;9,1439;1,5398;-3,3724;-5,7500;-16,5759;-16,8593;-16,9882;-16,9980;
-0,9083;11,9680;20,6333;22,3614;17,8136;10,2800;2,8161;-2,3797;-5,1669;-16,3167;-16,7648;-16,9537;-16,9862;
-1,6117;9,8682;18,0663;20,6751;17,7249;11,5481;4,6828;-0,6508;-3,9669;-15,6681;-16,4838;-16,8483;-16,9399;
-2,4693;7,4497;14,9960;18,1014;16,7766;12,4567;6,8418;1,7677;-1,9854;-14,3884;-15,8086;-16,5540;-16,7882;
-3,4167;4,6973;11,5052;15,0238;15,0181;12,6100;8,7345;4,5363;0,7122;-12,3188;-14,4995;-15,8642;-16,3422;
-4,3659;1,8515;7,6785;11,5256;12,7572;11,9552;9,8738;7,0397;3,7604;-9,5328;-12,4005;-14,5403;-15,2064;
-5,1882;-0,7424;3,9020;7,6926;9,9666;10,6505;10,0732;8,7081;6,5060;-6,4082;-9,5890;-12,4285;-12,7467;
-5,8960;-2,9802;0,5072;3,9106;6,7426;8,6829;9,5037;9,3629;8,3829;-3,5967;-6,4424;-9,6061;-8,1752;
-6,4904;-4,8768;-2,4034;0,5111;3,4721;6,1500;8,1535;9,1758;9,2128;-1,6645;-3,6125;-6,4503;-0,7814;
-6,8514;-6,1932;-4,7086;-2,4022;0,3832;3,2993;5,9956;8,0579;9,1320;-0,8010;-1,6692;-3,6148;9,7683;
-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;-7,0000;



Decisao 3
Filial 1
Probabilidades
0,0338;0,0686;0,1134;0,1402;0,1450;0,1048;0,1024;0,0897;0,0746;0,0575;0,0384;0,0234;0,0081;
0,0314;0,0648;0,1089;0,1366;0,1437;0,1076;0,1041;0,0907;0,0762;0,0593;0,0404;0,0252;0,0111;
0,0270;0,0581;0,0996;0,1289;0,1397;0,1115;0,1070;0,0940;0,0790;0,0630;0,0445;0,0290;0,0188;
0,0222;0,0490;0,0867;0,1160;0,1314;0,1131;0,1110;0,0986;0,0844;0,0681;0,0508;0,0352;0,0334;
0,0177;0,0398;0,0718;0,0998;0,1180;0,1103;0,1127;0,1043;0,0910;0,0757;0,0584;0,0434;0,0571;
0,0138;0,0313;0,0575;0,0820;0,1013;0,1016;0,1100;0,1076;0,0984;0,0843;0,0682;0,0527;0,0915;
0,0099;0,0235;0,0440;0,0647;0,0831;0,0896;0,1014;0,1063;0,1033;0,0936;0,0789;0,0641;0,1378;
0,0067;0,0165;0,0321;0,0490;0,0655;0,0751;0,0894;0,0988;0,1034;0,1000;0,0899;0,0761;0,1975;
0,0044;0,0111;0,0222;0,0354;0,0495;0,0602;0,0750;0,0877;0,0969;0,1012;0,0976;0,0880;0,2707;
0,0024;0,0068;0,0142;0,0240;0,0357;0,0466;0,0601;0,0741;0,0867;0,0957;0,0999;0,0966;0,3571;
0,0009;0,0033;0,0080;0,0149;0,0241;0,0346;0,0466;0,0598;0,0737;0,0862;0,0952;0,0995;0,4531;
0,0002;0,0012;0,0036;0,0082;0,0149;0,0238;0,0346;0,0465;0,0597;0,0736;0,0861;0,0951;0,5525;
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
Contribuicoes
-1,8822;3,1774;9,7492;13,5294;14,1109;8,0045;7,8881;5,9690;3,7590;-8,7417;-11,5333;-13,6851;-15,9532;
-1,9553;3,1052;9,6553;13,4754;14,1026;8,0916;7,8898;5,9964;3,7906;-8,7060;-11,4934;-13,6543;-15,9058;
-2,2163;2,7740;9,2479;13,1887;14,0190;8,3948;7,9829;6,0959;3,9307;-8,5469;-11,3153;-13,5047;-15,6587;
-2,6472;2,0870;8,3635;12,4630;13,6834;8,8253;8,2959;6,3506;4,2163;-8,1963;-10,9212;-13,1455;-14,9829;
-3,1895;1,1200;6,9800;11,1780;12,8960;9,1368;8,7387;6,8670;4,7052;-7,6456;-10,2747;-12,5233;-13,5965;
-3,7830;-0,0091;5,2509;9,3562;11,5436;9,0576;9,0637;7,5323;5,4778;-6,8668;-9,4004;-11,6273;-11,2035;
-4,4850;-1,2966;3,2204;7,1086;9,6420;8,5428;9,0004;8,1206;6,4463;-5,7511;-8,2386;-10,4578;-7,4599;
-5,1503;-2,6564;1,0786;4,5866;7,3188;7,4350;8,5007;8,3068;7,3218;-4,4576;-6,7600;-9,0163;-2,1158;
